"id","title","txt_url","authors"
"62624","O Bem e o Mal: Romance","https://www.gutenberg.org/ebooks/62624.txt.utf-8","Castelo Branco, Camilo"
"63488","Ambições: Romance","https://www.gutenberg.org/ebooks/63488.txt.utf-8","Osório, Ana de Castro"
"69353","A flor secca: romance","https://www.gutenberg.org/ebooks/69353.txt.utf-8","Chagas, Manuel Pinheiro"
"68635","Innocencia","https://www.gutenberg.org/ebooks/68635.txt.utf-8","Taunay, Alfredo d'Escragnolle Taunay, Visconde de"
"30161","A agua profunda","https://www.gutenberg.org/ebooks/30161.txt.utf-8","Bourget, Paul"
"70664","O sangue","https://www.gutenberg.org/ebooks/70664.txt.utf-8","Castelo Branco, Camilo"
"2837","Lendas do sul","https://www.gutenberg.org/ebooks/2837.txt.utf-8","Lopes Neto, J. Simões (João Simões)"
"55797","Memorial de Ayres","https://www.gutenberg.org/ebooks/55797.txt.utf-8","Machado de Assis"
"24710","A Senhora Viscondessa","https://www.gutenberg.org/ebooks/24710.txt.utf-8","Lima, S. de Magalhães (Sebastião de Magalhães)"
"67561","A nossa Gente","https://www.gutenberg.org/ebooks/67561.txt.utf-8","Queiroz, Teixeira de"
